"built_work_site_primary_key","site_name_pinyin","site_name2_traditional","site_name3_simplified","iri_local_name","modified","dont_use_site_name_zh-Hans","dont_use_site_name_zh-Latn-pinyin","site_name_en","site_main_image","site_geonames_id","site_getty_togn_id","earliest_period_zn-Hans","earliest_period_en","earliest_period_iri","latest_period_zn-Hans","latest_period_en","latest_period_iri","site_date_verbatim_zn-Hans","site_date_en","location_zn-Hans","province_name_zn-Hans","province_name_zn-Hant","province_name_zh-latn-pinyin","province_zn-Hans","province_zn-Hant","county-city_name_zn-Hans","political subdivision_zn-Hans","county-city_name_zh-latn-pinyin","political subdivision_en","political_subdivision_getty_tgn","subdivision_getty_aat_type","locality_zn-Hans","political subdivision2_zn-Hans","Geo_note","county-city_verbatim_zn-Hans","locality_en","locality_geonames_id","locality_getty_togn_id","Note"
"000078","Qinxian Dayunyuan","沁縣大雲院","沁县大云院","Qinxian_Dayunyuan","2017-04-03T21:42:00-05:00","沁县大云院","Qinxian Dayunyuan","Dayun Cloister in Qinxian",,,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋至清","Song to Qing","山西省沁县","山西","山西","Shanxi","山西省","山西省","沁","县",,"County",,,,,,"沁县",,,,
"000079","Qixian Xingfansi","祁縣興梵寺","祁县兴梵寺","Qixian_Xingfansi","2017-04-03T21:42:00-05:00","祁县兴梵寺","Qixian Xiangfansi","Xiangfan Monastery in Qixian",,,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n","宋","Song","山西省祁县","山西","山西","Shanxi","山西省","山西省","祁","县",,"County",,,"东观","镇","中学里面","观镇中学里面","Qixian_Dongguangzhen_Zongxue_limian",,,
"000080","Qufu Kongfu","曲阜孔府","曲阜孔府","Qufu_Kongfu","2017-04-03T21:42:00-05:00",,,"Kong Family Residence in Qufu ",,,,"宋","Song",,"清","Qing",,"宋至清","Song to Qing","山东省曲阜县","山东","山东","Shandong","山东省","山東省","曲阜","县","Qufu","County","8631848",,,,,,,,,
"000081","Qufu Kongmiao","曲阜孔廟","曲阜孔庙","Kongmiao","2017-04-03T21:42:00-05:00","曲阜孔庙","Kongmiao","Temple of Confucius in Qufu",,9072554,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山东省曲阜县","山东","山東","Shandong","山东省","山東省","曲阜","县","Qufu","County","8631848","300387198",,,,"曲阜县",,,8631848,
"000082","Ruicheng Chenghuangmiao","芮城城隍廟","芮城城隍庙","Ruicheng_Chenghuangmiao","2017-04-03T21:42:00-05:00","芮城城隍庙","Ruicheng Chenghuangmiao","Ruicheng City God Temple",,,,"北宋","Northern Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","北宋至清: Main Hall Song--11th cen?","Northern Song to Qing","山西省芮城县","山西","山西","Shanxi","山西省","山西省","芮城","县",,"County",,,,,,"芮城县",,,,"Main Hall Song--11th cen?"
"000083","Runcheng Dongyuemiao","潤城東岳廟","润城东岳庙","Runcheng_Dongyuemiao","2017-04-03T21:42:00-05:00","润城东岳庙/屯城東岳廟","Runcheng Dongyuemiao","Runchengzhen Dongyue Temple",,,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省阳城县","山西","山西","Shanxi","山西省","山西省","阳城","县","Yangcheng","County","8683046","300387198",,,,"阳城县",,,,
"000084","Sanjunmiao","三峻廟","三峻庙","Sanjunmiao","2017-04-03T21:42:00-05:00","三峻庙","Sanjunmiao","Sanjun Temple",,,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省壶关县","山西","山西","Shanxi","山西省","山西省","壶关","县","Huguan","County","8206585","300387198",,,,"壶关县",,,,
"000085","Shanhuasi","善化寺","善化寺","Shanhuasi","2017-04-03T21:42:00-05:00","善化寺","Shanhuasi","Shanhua Monastery",,,,"辽","Liao ","http://n2t.net/ark:/99152/p0fp7wvw8zq","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","辽,金; rebuilt 1128-1143","Liao  to Jin","山西省大同市","山西","山西","Shanxi","山西省","山西省","大同","市","Datong","City","8208819","300387198",,,,"大同市",,2037794,8208820,"rebuilt 1128-1143"
"000086","Shaolinsi","少林寺初祖庵","少林寺初祖庵","Shaolinsi","2017-04-03T21:42:00-05:00","少林寺初祖庵","Shaolinsi","Shaolin Monastery",,,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n","宋","Song","河南省登封市","河南","河南","Henan","河南省","河南省","登封","市","Dengfeng Shi","City","8200070","300387198",,,,"登封市",,,,
"000089","Suzhou Xuanmiaoguan","蘇州玄妙觀","苏州玄妙观","Suzhou_Xuanmiaoguan_Sanqingdian","2017-04-03T21:42:00-05:00","苏州玄妙观三清殿","Suzhou Xuanmiaoguan","Xuanmiao Belvedere in Suzhou",,,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n","宋","Song","江苏省苏州市","江苏","江蘇","Jiangsu","江苏省","江蘇省","苏州","市","Suzhou Shi","City","8570104","300387145",,,,"苏州市",,,,
